jpb_id,title,posted,company_name,skills,exp,salary,offered_location,job_Description
130223902315,Analystics & Modeling Specialist,9 Days Ago,Accenture,"Bfsi,Consulting,Machine learning,Open source,Python,Business process,Market research,Outsourcing",6-8 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","This role will be a part of Survey Solutions and Analytics team. The Analytics and Modeling Specialist will be working on developing advanced statistical models, machine learning methods and high-end solutions based on various datasets, helping Accenture improve various business outcome indicators.  <br /> <br /> KEY RESPONSIBILITIES (BULLETS) <br /> Conceptualize, develop, test and implement various advanced Statistical models on business data. <br /> Integrate the outcomes from various analytics techniques to provide insights beyond the obvious, which helps create value for Accenture and its clients. <br /> Leverage a combination of multiple approaches for project execution, including internal assets, third-party and open source solutions to create unique methods of delivery. <br /> Collaborate with stakeholders, subject matter experts, client teams and other functional teams globally to understand business problems and conceptualize, design and execute solutions using various data sources and advanced analytics approach. <br /> <br />"
290723501787,Data Scientist - Senior Associate,4 Days Ago,PwC,"Cloud computing,deep learning,Automation,data science,Analytical,Machine learning,Natural language processing,Data mining",4-6 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru","<p> <span> As a Data Scientist, you will be responsible for the below activities:  </span> </p> <p> <span> </span> <span> Design and develop solutions related to machine learning, natural language processing and deep  </span> <span> </span> <span> learning & Generative AI to address business needs. </span> <span> </span> </p> <p> <span> </span> <span> Daily the team utilizes the latest technologies to work creatively and analytically to apply cutting  </span> <span> </span> <span> edge techniques to specific challenges </span> <span> </span> </p> <p> <span> You need exceptional skills in data science and continuously expand personal skill sets and stay  </span> <span> </span> <span> up to speed on the latest A.I. trends, tools, methodologies, and techniques.  </span> <span> </span> </p> <p> <strong> Skills and Experience </strong> </p> <p> <span> Demonstrates thorough abilities and/or a proven record of success as a team leader including: </span> <span> </span> </p> <p> <strong> Must Have </strong> </p> <p> <span> Ideally 4 to 6 years of relevant experience. </span> <span> </span> </p> <p> <span> Bachelor s Degree in Computer Science, Engineering or other technical discipline (BE, BTech, </span> <span> </span> <span> MCA). </span> <span> </span> </p> <p> <span> Performing in development language environments- e.g. Python, Java, Scala, R, SQL, etc. and  </span> <span> </span> <span> applying analytical methods to large and complex datasets leveraging one of those languages </span> <span> </span> </p> <p> <span> Candidate should have a solid work exposure to Generative AI based projects that includes designing and implementing solutions based on Langchain framework and designing efficient prompt for LLM s.  </span> </p> <p> <span> Candidate should have good experience in pre-training and fine tuning Large Language Models (LLM s) on HuggingFace models & other Large Language Models.  </span> </p> <p> <span> Candidate should have prior experience on Azure cloud platform.  </span> </p> <p> <span> Experience in machine learning, natural language processing and deep learning. </span> <span> </span> </p> <p> <span> Proven ability with NLP and text-based extraction techniques. </span> <span> </span> </p> <p> <span> Familiarity with deep learning architectures used for text analysis, computer vision and signal  </span> <span> </span> <span> processing. </span> <span> </span> </p> <p> <span> Understanding of not only how to develop data science analytic models but how to operationalize  </span> <span> </span> <span> these models so they can run in an automated context  </span> <span> </span> </p> <p> <span> Understanding of machine learning algorithms, such as k-NN, GBM, Neural Networks Naive  </span> <span> </span> <span> Bayes, SVM, and Decision Forests. </span> </p> <p> <span> Utilizing and applying knowledge commonly used data science packages including Spark,  </span> <span> </span> <span> Pandas, SciPy, and NumPy.  </span> <span> </span> </p> <p> <span> Leading, training and working with other data scientists in designing effective analytical  </span> <span> </span> <span> approaches taking into consideration performance and scalability to large datasets  </span> <span> </span> </p> <p> <span> Experience manipulating and analyzing complex, high-volume, high-dimensionality data from  </span> <span> </span> <span> varying sources  </span> <span> </span> </p> <p> <span> Applying techniques such as multivariate regressions, Bayesian probabilities, clustering  </span> <span> </span> <span> algorithms, machine learning, dynamic programming, stochastic-processes, queuing theory,  </span> <span> </span> <span> algorithmic knowledge to efficiently research and solve complex development problems and  </span> <span> </span> <span> application of engineering methods to define, predict and evaluate the results obtained.  </span> <span> </span> </p> <p> <span> Developing and deploying A.I. solutions as part of a larger automation pipeline  </span> <span> </span> </p> <p> <strong> Good to Have </strong> </p> <p> </p> <p> <span> Demonstrates extensive abilities and/or a proven record of success in the application of statistical  </span> <span> </span> <span> modelling, algorithms, data mining and machine learning algorithms problem solving  </span> <span> </span> </p> <p> <span> A track record of delivery within a number of large-scale projects, demonstrating ownership of  </span> <span> </span> <span> architecture solutions and managing change  </span> <span> </span> </p> <p> <span> Utilizing programming skills and knowledge on how to write models which can be directly used in  </span> <span> </span> <span> production as part of a large-scale system.  </span> <span> </span> </p> <p> <span> Utilizing and applying knowledge of technologies such as H20.ai, Google Machine Learning and  </span> <span> </span> <span> Deep learning.  </span> <span> </span> </p> <p> <span> Developing end to end deep learning solutions for structured and unstructured data problems.  </span> <span> </span> </p> <p> <span> Using common cloud computing platforms including Azure, AWS and GCP in addition to their </span> <span> </span> </p> <p> <span> respective utilities for managing and manipulating large data sources, model, development, and  </span> <span> </span> <span> deployment.  </span> <span> </span> </p> <p> <span> Visualizing and communicating analytical results, using technologies such as HTML, JavaScript,  </span> <span> </span> <span> D3, Tableau, and PowerBI. </span> <span> </span> </p> <p> <strong> Other Skills </strong> </p> <p> <span> Documenting systems, refining requirements, self-identify solutions and communicate to the  </span> <span> </span> <span> team; </span> <span> </span> </p> <p> <span> Demonstrating a desire to keep learning, maintain own skill set, stay up to date and expand one s  </span> <span> </span> <span> knowledge across the full stack; </span> <span> </span> </p> <p> <span> Demonstrating a desire to improve the status quo , especially automating and improving software  </span> <span> </span> <span> development and operations processes to achieve massively higher delivery velocity and  </span> <span> </span> <span> operations quality; </span> <span> </span> </p> <p> <span> Contributing to thought leadership through participation in the development of technology  </span> <span> </span> <span> processes; </span> <span> </span> </p> <p> <span> Applying continuous independent judgement while collaborating with others, and influencing  </span> <span> </span> <span> others within the project and domain teams; and, </span> <span> </span> </p> <p> <span> Building and leveraging relationships as well as specialist level verbal and written communication  </span> <span> </span> <span> skills. </span> <span> </span> </p> <p> <span> Preferred Certifications (at least two certifications are preferred): </span> <span> </span> </p> <p> <span> Data Science Certifications in Machine Learning, Deep Learning and Natural Language  </span> <span> </span> <span> Processing. </span> <span> </span> </p> <p> <span> Certified Professional in Python Programming Level 1 or 2 </span> </p>"
130223902578,Data Science Specialist,21 Days Ago,Accenture,"Product management,Change management,Consulting,Machine learning,Python,Business process,Artificial Intelligence,Natural language processing",2-4 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Must Have Knowledge of statistical techniques and machine learning algorithms <br><br>Hands-on experience of analysis tools like R,Python <br><br>Good to have Deep Learning <br><br>Human Resources experience"
210723000027,Data Scientist,13 Days Ago,PwC,"Data Science,Python,Tensorflow,Pandas,numpy,Machine Learning,SQL,Machine",3-6 Yrs,Not disclosed,"Bangalore/Bengaluru, Mumbai (All Areas)","Experience:5 to 6 Years. Notice period:Immediate,30 days & currently serving <br><br> GOOD IN PYTHON,MACHINE LEARNING,SQL AND PREDICTIVE / STATISTICAL MODELING to build Cognitive Intelligence and automate recommendation engines<br><br>for Time Series/ Multivariable/ Causal predictive models). >> Experience working in Python and various libraries such as Pandas,Numpy,Ski-kit learn,etc"
020823500576,Staff Data Scientist,1 Day Ago,Visa Inc,"Data analysis,Linux,Data structures,Windows,Customer service,Apache,Data mining,CRM",5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"<p> </p><ul> <li> As a Staff Data Scientist in the team, you will be responsible for building and deploying machine learning models for multiple use cases such as Sales propensity models, Sales upsell, Cross sell, Sales forecasting, Product recommendation and Sales activity recommendation models to generate smart pipelines for Sales teams </li> <li> For customer services, build models to analyze customer service cases and build AI based automation systems to resolve cases quickly and enable self-service for our customers </li> <li> Based on deep understanding and knowledge of data science and machine learning/AI techniques, you will develop and maintain models to improve customer and employee experience </li> </ul> <p> </p> <p> <strong> Responsibilities </strong> </p> <ul> <li> Work with Business stakeholders to understand Business requirements and desired business outcomes that can be optimized or improved by using Data, AI and ML. </li> <li> Perform exploratory data analysis on CRM and enterprise data and explore internal Visa and external sources of data for training and building predictive models. </li> <li> Build and deploy machine learning inference models, monitor performance in production, remediate model drift and integrate inference results with applications such as MS Dynamics. </li> <li> Provide insights from data and present results, outcome, and explanations for results to Business users and stakeholders.  </li> <li> Build models on structured or unstructured data and data at rest or streaming data </li> <li> Collaborate with team members to deliver innovative technologies, insights to Visa business units to drive sales, save costs, facilitate data driven Business decisions, improve operations and efficiency gains. </li> <li> Research emerging trends and published papers in AI and Machine learning and apply learnings to solve Business problems. </li> <li> Help define financial and analytic metrics to measure development and production outcomes and produce performance reports. </li> <li> Support sales and marketing efforts with sound statistical and financial analysis and execute ad-hoc analyses to meet the fast-changing market demand. </li> <li> Establish Data Science Center of excellence in India and provide thought leadership for usage of ML Models to drive growth. </li> <li> Lead data science and AI initiatives and partner with Business to deploy models in production </li> </ul>

<p> <strong> Requirements </strong> </p> <ul> <li> Masters degree in Statistics, Operations Research, Applied Mathematics, Economics, Data Science, Business Analytics, Computer Science, or a related technical field preferred </li> <li> 4+ years experience</li></ul>"
280723503277,Manager Data Scientist,5 Days Ago,Visa Inc,"SAS,data science,spark,Analytical,Machine learning,Agile,Analytics,SQL",6-11 Yrs,Not disclosed,Bangalore/Bengaluru,"Team oriented,collaborative,diplomatic,and agile working style . Post-graduate degree (Masters or PhD) in a Quantitative field such as Statistics,Mathematics,Operational Research,Computer Science,Economics,Engineering,or equivalent . Must have experience with Hadoop,SQL,Spark / Pyspark and Python ."
280723503247,Data Scientist - Manager - Agent Product,5 Days Ago,Paytm,"Change management,data science,Business Analyst,Analytical,Analytics,Financial services,SQL,Python",4-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Experience with PySpark,experience with distributed system like Hive/ Parallel Processing in Python is plus . Why join us . We give immense opportunities to make a difference,and have a great time doing that"
280723500284,Sr Data Scientist,5 Days Ago,Wabtec,"Mining,Computer science,Leadership development,HTTP,Scrum,Troubleshooting,Forecasting,Information technology",6-9 Yrs,Not disclosed,Bangalore/Bengaluru,"BTech or MTech in Information Technology (IT),Computer Science,or Engineering from an accredited college or university . 6+ years of mandatory experience in Data Science,Machine Learning and Python<br><br>Exposure to Industrial engineering domain is preferred . <br><br> Good have exposure to R . Good understanding or experience of working with AWS sagemaker / Azure ML"
270723905002,Applied Scientist,6 Days Ago,Flipkart,"Data Science,analytics,deep learning,python,tensorflow,r,data mining,pytorch",2-5 Yrs,Not disclosed,Bangalore/Bengaluru, . Education: Btech Mtech in Comp Science / Data Science / Pure science and related disciplines from Tier 1 universities.  . <br><br>Proven hard-problem solving skills.  . Background and Experience: 2-5 years of hands-on experience in Machine Learning and Deep Learning with good track of publication / patents. .
120523909967,Artificial Intelligence Senior Analyst-Intelligent Automation,2 Days Ago,Accenture,"Automation,Pharmacovigilance,SQL,.NET Programming,jQuery,MySQL,Python Programming,.Net",5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Please note that this role may require you to work in rotational shifts<br><br>Skill required: Intelligent Automation Enablement - Life Sciences Automation Enablement. <br><br>In this role you are required to do analysis and solving of increasingly complex problems <br><br>Qualifications: BE / BTech/MCA. Years of Experience: 5 to 8 years
260723502197,Senior Data Scientist,7 Days Ago,Sophos,"Computer science,Data analysis,GIT,HP data protector,Machine learning,Agile,Data structures,JIRA",4-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Solid foundation in Computer Science,with a bachelor s or master s degree in computer science or a related field and solid understanding of data structures and algorithms<br><br> 4+ years of hands-on experience as a data scientist working on end-to-end machine learning projects<br><br>Preferred skills:  ."
260723502064,Senior Data Scientist,7 Days Ago,Sophos,"Computer science,Data analysis,GIT,HP data protector,Machine learning,Agile,Data structures,JIRA",5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Solid foundation in Computer Science,with a bachelor s or master s degree in computer science or a related field and solid understanding of data structures and algorithms<br><br> 4+ years of hands-on experience as a data scientist working on end-to-end machine learning projects<br><br>Preferred skills:  ."
010823004747,Data Scientist,1 Day Ago,Bajaj Finance,"Data Science,Machine Learning,SQL,Python,Risk Analytics,Science,Risk,Data",4-9 Yrs,"50,000-3 Lacs PA",Pune,"Urgent Opportunity for candidate Experience in Data Science (Python,SQL,Machine Learning)<br><br>Experience Level - 4 to 10 years."
210723003763,Data Scientist,12 Days Ago,HCLTech,"Data Science,Machine Learning,Tensorflow,Predictive,Natural Language Processing,Deep Learning,artificial intelligence,Ml",7-12 Yrs,Not disclosed,"Hybrid - Noida, Uttar Pradesh, Bangalore/ Bengaluru, Karnataka","Qualifications,Education and Experience:  . Phd,Masters or Bachelors degree in Computer Science,Electrical Engineering,Statistics,Mathematics with at least 10+ years in ML / AI <br><br>Experience in solving clients analytics problems and effectively communicating results and methodologies"
010823903502,Senior Data Scientist,1 Day Ago,Intuit,"Data Science,product management,big data infrastructure,data warehousing,big data,Science,Warehouse,Data",4-7 Yrs,Not disclosed,Bangalore/Bengaluru,"You must be comfortable partnering with those directly involved with big data infrastructure,software,and data warehousing,as well as product management"
281222501570,Data Scientist,30+ Days Ago,Tata Nexarc,"data science,Analytical,Machine learning,data visualization,Business intelligence,Data mining,Analytics,SQL",3-6 Yrs,Not disclosed,"Mumbai, Pune","Tata Business Hub is looking for a competent Data Scientist who will be responsible for driving data science projects across the organization Along with this,you will be expected to have a very good handle on different data streams and address the organizations data requirements"
